field,sal_male_2023,sal_male_2024,sal_female_2023,sal_female_2024,sal_total_2023,sal_total_2024,pay_gap_2024
Medicine,90000.0,87700.0,83300.0,84000.0,85000.0,86800.0,3700.0
Social Work,77300.0,82300.0,77300.0,81500.0,77300.0,82000.0,800.0
Engineering,75300.0,80000.0,75000.0,78300.0,75000.0,80000.0,1700.0
Teacher Education,75900.0,81000.0,75000.0,78300.0,75000.0,78800.0,2700.0
Law,76000.0,80000.0,71000.0,75000.0,73000.0,76000.0,5000.0
Computing & IT,75000.0,76000.0,73000.0,75000.0,74400.0,75300.0,1000.0
Psychology,73100.0,77800.0,70000.0,75000.0,71000.0,75100.0,2800.0
Architecture & Built Env.,72000.0,78700.0,63400.0,69400.0,66000.0,75000.0,9300.0
Rehabilitation,71000.0,75000.0,71000.0,75000.0,71000.0,75000.0,0.0
Health Services,73000.0,75800.0,70100.0,73600.0,70800.0,74900.0,2200.0
Humanities & Social Sci.,71000.0,74000.0,68000.0,72400.0,69400.0,73100.0,1600.0
Science & Maths,70500.0,75000.0,67500.0,70000.0,69000.0,72400.0,5000.0
Business & Management,70000.0,72000.0,67800.0,72000.0,69200.0,72000.0,0.0
Nursing,71000.0,74000.0,69000.0,71400.0,69400.0,72000.0,2600.0
Agriculture & Env.,73300.0,73200.0,70000.0,70800.0,71100.0,71500.0,2400.0
Communications,67000.0,63400.0,65000.0,66500.0,65000.0,65200.0,-3100.0
Tourism & Hospitality,71400.0,70200.0,60000.0,60000.0,65000.0,63900.0,10200.0
Creative Arts,60800.0,65500.0,57400.0,62000.0,59500.0,62600.0,3500.0
Pharmacy,55500.0,58900.0,55500.0,59500.0,55500.0,59500.0,-600.0
