field,employment_rate,median_salary
Rehabilitation,94.9,75000.0
Pharmacy,91.4,59500.0
Medicine,90.4,86800.0
Teacher Education,86.8,78800.0
Engineering,85.5,80000.0
Nursing,85.5,72000.0
Law,79.3,76000.0
Business & Management,78.5,72000.0
Agriculture & Env.,77.8,71500.0
Social Work,77.3,82000.0
Health Services,75.4,74900.0
Tourism & Hospitality,69.8,63900.0
Computing & IT,67.8,75300.0
Humanities & Social Sci.,66.7,73100.0
Architecture & Built Env.,66.6,75000.0
Psychology,65.5,75100.0
Science & Maths,63.6,72400.0
Communications,58.3,65200.0
Creative Arts,48.4,62600.0
