field,part_time_pct,seeking_more_pct,satisfied_pt_pct,fte_rate
Creative Arts,60.0,32.7,27.3,48.4
Psychology,56.3,25.2,31.1,65.5
Science & Maths,52.5,24.6,27.9,63.6
Humanities & Social Sci.,47.3,22.2,25.1,66.7
Nursing,46.5,12.6,33.9,85.5
Health Services,43.1,21.7,21.4,75.4
Tourism & Hospitality,42.9,24.7,18.2,69.8
Communications,42.8,25.5,17.3,58.3
Architecture & Built Env.,40.4,22.0,18.4,66.6
Dentistry,36.1,15.1,21.0,85.6
Agriculture & Env.,35.4,15.1,20.3,77.8
Teacher Education,34.3,12.0,22.3,86.8
Social Work,33.4,15.2,18.2,77.3
Medicine,29.9,10.2,19.7,90.4
Law,29.2,12.6,16.6,79.3
Veterinary Science,25.1,9.8,15.3,84.7
Business & Management,24.7,12.7,12.0,78.5
Computing & IT,23.3,13.7,9.6,67.8
Engineering,18.2,7.8,10.4,85.5
Rehabilitation,12.1,3.2,8.9,94.9
Pharmacy,10.5,4.0,6.5,91.4
