field,part_time_pct,seeking_more_pct,satisfied_pt_pct
Creative Arts,60.0,32.7,27.299999999999997
Psychology,56.3,25.2,31.099999999999998
Science & Maths,52.5,24.6,27.9
Humanities & Social Sci.,47.3,22.2,25.099999999999998
Nursing,46.5,12.6,33.9
Health Services,43.1,21.7,21.400000000000002
Tourism & Hospitality,42.9,24.7,18.2
Communications,42.8,25.5,17.299999999999997
Architecture & Built Env.,40.4,22.0,18.4
Dentistry,36.1,15.1,21.0
Agriculture & Env.,35.4,15.1,20.299999999999997
Teacher Education,34.3,12.0,22.299999999999997
Social Work,33.4,15.2,18.2
Medicine,29.9,10.2,19.7
Law,29.2,12.6,16.6
Veterinary Science,25.1,9.8,15.3
Business & Management,24.7,12.7,12.0
Computing & IT,23.3,13.7,9.600000000000001
Engineering,18.2,7.8,10.399999999999999
Rehabilitation,12.1,3.2,8.899999999999999
Pharmacy,10.5,4.0,6.5
